Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6",1206,5,100nF,C24497
"C10, C11, C12, C13, C14, C15, C16, C8, C9",1206,9,470p,C1868
C17,1206,1,4n7,C9192
C2,1206,1,10uF,C9807
C7,1206,1,47nF,C21812
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-323,12,SD15_SOD323,C2931147
J1,DB9-TH_D-SUB-DR-9PCM-CB,1,Conn_01x11_Pin,C19077337
J3,DB9-TH_D-SUB-DR-9PCM-CB,1,Conn_01x11_Pin,C19077344
"R1, R11, R12, R13, R2, R5",1206,6,1K,C4410
R10,1206,1,1M,C393098
"R3, R4, R8, R9",1206,4,25K,C870587
"R6, R7",1206,2,25K,
RV3,RES-ADJ-SMD_TC33X-2-104E,1,50K,C913246
SW1,SW-SMD_SS-3292S-L2-B,1,SS-3292S-L2-B,C500057
"TP1, TP2",Pin_D1.3mm_L11.0mm,2,TestPoint,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,iC-NV,C5240841
U2,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,MC3487N,C2671192
