Designator,Mid X,Mid Y,Rotation,Layer
C1,147.7935,-112.05,270.0,top
C2,132.2658,-108.7306,90.0,top
C3,150.2375,-94.5,180.0,top
C4,150.2375,-90.5,180.0,top
C5,167.2343,-108.87335,90.0,top
C6,156.4,-90.5,0.0,top
C7,156.4,-94.5,0.0,top
J1,126.85,-100.45,270.0,top
J3,178.16,-100.37,90.0,top
R10,136.125,-103.22,0.0,top
R5,136.12,-89.37,180.0,top
R6,136.12,-92.14,180.0,top
R7,136.125,-100.45,180.0,top
R8,136.125,-94.91,180.0,top
R9,136.125,-97.68,180.0,top
RV3,162.12,-85.975,0.0,top
SW1,154.4,-85.3,0.0,top
TP1,167.9,-85.2,180.0,top
TP2,146.7,-85.3,180.0,top
U1,151.425,-101.3375,0.0,top
U2,167.87,-101.65975,90.0,top
